Species,Marcial_Mercadona,Marcial_Aldi,Wolf_AlNatura,Guille_Carrefour,Regina_MAS,Jimena_carrefour,Víctor_Mercadona,RauL_DIA,Jose_DIA,Elvira_mercadona,Javi_Mercadona,Angie_Amazon,Alex_Mercadona,Omar_mercadona,Melissa_Lidl,Pedro_Mercadona,Amanda_Preziazos,Fran_Dia
Actinidia chinensis,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Allium cepa,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
Allium sativum,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Aloe vera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ananas comosus,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
Apium graveolens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arachis hypogaea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena sativa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta vulgaris,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Brassica napus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassica oleracea,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
Camellia sinensis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Capsicum annuum,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Carya illinoiensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamaemelum nobile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenopodium quinoa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Cicer arietinum,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Citrus X limon,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Citrus X aurantium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Citrus reticulata,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
Cocos nucifera,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Coffea arabica,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
Coriandrum sativum,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cucumis sativus,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Cucurbita maxima,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuminum cyminum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cynara scolymus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Cyperus esculentus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daucus carota,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0
Elaeis guineensis,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Fragaria vesca,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
Glycine max,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Helianthus annuus,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Hordeum vulgare,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humulus lupulus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipomoea batatas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasminum officinale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juglans regia,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lactuca sativa,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Lavandula angustifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vicia lens,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Malus sylvestris,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mangifera indica,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mentha spicata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musa X paradisiaca,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0
Ocimum basilicum,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Olea europaea,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
Origanum vulgare,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Oryza sativa,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
Persea americana,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Phaseolus vulgaris,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Phoenix dactylifera,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pinus pinea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Piper nigrum,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pistacia vera,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Lathyrus oleraceus,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
Plantago ovata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus dulcis,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Prunus persica,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Pyrus communis,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Rubus idaeus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Saccharum officinarum,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Salvia rosmarinus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sesamum indicum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum lycopersicum,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
Solanum melongena,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Solanum tuberosum,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1
Spinacia oleracea,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa moschata,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
Thymus vulgaris,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Triticum aestivum,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
Triticum spelta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vaccinium macrocarpum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla planifolia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis vinifera,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
Zea mays,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
Zingiber officinale,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
