"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1",1,"Allium cepa","","Allium",2,"Allium cepa","L.","Allium",2,77203,1,FALSE,0.8,0,NA,NA,NA,NA,"Amaryllidaceae",NA,"Allium cepa",NA
"3",2,"Allium sativum","","Allium",2,"Allium sativum","L.","Allium",2,77912,1,FALSE,0.8,0,NA,NA,NA,NA,"Amaryllidaceae",NA,"Allium sativum",NA
"5",3,"Aloe vera","","Aloe",2,"Aloe vera","(L.) Burm.fil.","Aloe",2,76643,1,FALSE,0.8,0,NA,NA,NA,NA,"Xanthorrhoeaceae",NA,"Aloe vera",NA
"6",4,"Anacardium occidentale","","Anacardium",2,"Anacardium occidentale","L.","Anacardium",2,224466,1,FALSE,0.8,0,NA,NA,NA,NA,"Anacardiaceae",NA,"Anacardium occidentale",NA
"7",5,"Ananas comosus","","Ananas",2,"Ananas comosus","(L.) Merr.","Ananas",2,93781,1,FALSE,0.8,0,NA,NA,NA,NA,"Bromeliaceae",NA,"Ananas comosus",NA
"8",6,"Apium graveolens","","Apium",2,"Apium graveolens","L.","Apium",2,403552,1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Apium graveolens",NA
"9",7,"Arachis hypogaea","","Arachis",2,"Arachis hypogaea","L.","Arachis",2,173780,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Arachis hypogaea",NA
"10",8,"Avena sativa","","Avena",2,"Avena sativa","L.","Avena",2,107814,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Avena sativa",NA
"11",9,"Beta vulgaris","","Beta",2,"Beta vulgaris"," L.","Beta",2,258488,1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Beta vulgaris",NA
"12",10,"Brassica napus","","Brassica",2,"Brassica napus","L.","Brassica",2,244956,1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Brassica napus",NA
"13",11,"Brassica oleracea","","Brassica",2,"Brassica oleracea","L.","Brassica",2,244963,1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Brassica oleracea",NA
"15",12,"Camellia sinensis","","Camellia",2,"Camellia sinensis"," (L.) Kuntze","Camellia",2,276596,1,FALSE,0.8,0,NA,NA,NA,NA,"Theaceae",NA,"Camellia sinensis",NA
"16",13,"Capsicum annuum","","Capsicum",2,"Capsicum annuum","L.","Capsicum",2,346870,1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Capsicum annuum",NA
"17",14,"Carica papaya","","Carica",2,"Carica papaya","L.","Carica",2,240415,1,FALSE,0.8,0,NA,NA,NA,NA,"Caricaceae",NA,"Carica papaya",NA
"18",15,"Carya illinoiensis","","Carya",2,"Carya illinoiensis","(Wangenh.) K.Koch","Carya",2,206400,1,FALSE,0.8,0,NA,NA,NA,NA,"Juglandaceae",NA,"Carya illinoiensis",NA
"19",16,"Chamaemelum nobile","","Chamaemelum",2,"Chamaemelum nobile","(L.) All.","Chamaemelum",2,384180,1,FALSE,0.8,0,NA,NA,NA,NA,"Asteraceae",NA,"Chamaemelum nobile",NA
"20",17,"Chenopodium quinoa","","Chenopodium",2,"Chenopodium quinoa","Willd.","Chenopodium",2,259121,1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Chenopodium quinoa",NA
"21",18,"Cicer arietinum","","Cicer",2,"Cicer arietinum","L.","Cicer",2,186049,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Cicer arietinum",NA
"23",19,"Citrus reticulata","","Citrus",2,"Citrus reticulata","Blanco","Citrus",2,228739,1,FALSE,0.8,0,NA,NA,NA,NA,"Rutaceae",NA,"Citrus reticulata",NA
"22",20,"Citrus X limon","","Citrus",2,"Citrus X limon","(L.) Burm.fil.","Citrus",2,228751,1,FALSE,0.8,0,NA,NA,NA,NA,"Rutaceae",NA,"Citrus X limon",NA
"24",21,"Cocos nucifera","","Cocos",2,"Cocos nucifera","L.","Cocos",2,85265,1,FALSE,0.8,0,NA,NA,NA,NA,"Arecaceae",NA,"Cocos nucifera",NA
"25",22,"Coffea arabica","","Coffea",2,"Coffea arabica","L.","Coffea",2,297308,1,FALSE,0.8,0,NA,NA,NA,NA,"Rubiaceae",NA,"Coffea arabica",NA
"26",23,"Coriandrum sativum","","Coriandrum",2,"Coriandrum sativum","L.","Coriandrum",2,403777,1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Coriandrum sativum",NA
"27",24,"Cucumis sativus","","Cucumis",2,"Cucumis sativus","L.","Cucumis",2,205028,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Cucumis sativus",NA
"28",25,"Cucurbita maxima","","Cucurbita",2,"Cucurbita maxima"," Duchesne","Cucurbita",2,204617,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Cucurbita maxima",NA
"29",26,"Cucurbita pepo","","Cucurbita",2,"Cucurbita pepo","L.","Cucurbita",2,204631,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Cucurbita pepo",NA
"30",27,"Cuminum cyminum","","Cuminum",2,"Cuminum cyminum","L.","Cuminum",2,403350,1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Cuminum cyminum",NA
"31",28,"Cynara scolymus","","Cynara",2,"Cynara scolymus","L.","Cynara",2,359583,1,FALSE,0.8,0,NA,NA,NA,NA,"Asteraceae",NA,"Cynara scolymus",NA
"32",29,"Cyperus esculentus","","Cyperus",2,"Cyperus esculentus","L.","Cyperus",2,100465,1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Cyperus esculentus",NA
"33",30,"Daucus carota","","Daucus",2,"Daucus carota"," L.","Daucus",2,403435,1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Daucus carota",NA
"34",31,"Elaeis guineensis","","Elaeis",2,"Elaeis guineensis","Jacq.","Elaeis",2,85030,1,FALSE,0.8,0,NA,NA,NA,NA,"Arecaceae",NA,"Elaeis guineensis",NA
"35",32,"Fragaria vesca","","Fragaria",2,"Fragaria vesca"," L.","Fragaria",2,193348,1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Fragaria vesca",NA
"36",33,"Glycine max","","Glycine",2,"Glycine max","(L.) Merr.","Glycine",2,180141,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Glycine max",NA
"37",34,"Helianthus annuus","","Helianthus",2,"Helianthus annuus","L.","Helianthus",2,397797,1,FALSE,0.8,0,NA,NA,NA,NA,"Asteraceae",NA,"Helianthus annuus",NA
"38",35,"Hordeum vulgare","","Hordeum",2,"Hordeum vulgare"," L.","Hordeum",2,112608,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Hordeum vulgare",NA
"40",36,"Humulus lupulus","","Humulus",2,"Humulus lupulus","L.","Humulus",2,197646,1,FALSE,0.8,0,NA,NA,NA,NA,"Cannabaceae",NA,"Humulus lupulus",NA
"41",37,"Ilex guayusa","","Ilex",2,"Ilex guayusa","Loes.","Ilex",2,351646,1,FALSE,0.8,0,NA,NA,NA,NA,"Aquifoliaceae",NA,"Ilex guayusa",NA
"42",38,"Ipomoea batatas","","Ipomoea",2,"Ipomoea batatas","(L.) Lam.","Ipomoea",2,343294,1,FALSE,0.8,0,NA,NA,NA,NA,"Convolvulaceae",NA,"Ipomoea batatas",NA
